CCAA;Separaciones;Divorcios;Nulidades;Divorcios de mutuo acuerdo;Divorcios contenciosos;Nacimientos;Matrimonios;PIB per cápita (€);"Variación interanual
PIB per cápita (%)";"Tasa de paro
total (%)";"Tasa de paro
hombres (%)";"Tasa de paro
mujeres (%)";"Hipotecas constituidas
sobre viviendas";Riesgo de pobreza (%);"Renta media
por hogar"
Andalucía;731;17079;13;12901;4177;69397;30850;19633;2,7;21,19;17,83;25,22;68091;28,1;28331
Aragón;83;2041;0;1657;384;9644;3969;28727;2,6;10,03;8,80;11,49;8979;15,4;34013
Asturias, Principado de;87;2095;0;1678;417;5152;3334;23299;2,6;14,19;13,30;15,13;6223;19,5;32434
Balears, Illes;76;2447;0;2060;387;9681;5082;28213;1,2;11,82;10,34;13,54;10032;14,8;36511
Canarias;128;4425;4;3343;1083;14137;7811;21244;1,5;20,50;19,31;21,87;13972;22,7;29254
Cantabria;62;1178;0;949;228;3547;2000;24383;3,1;10,28;9,64;11,01;4039;12;34027
Castilla y León;149;4012;5;3073;938;14323;7087;24886;2,6;11,64;10,02;13,58;14632;11,7;31956
Castilla - La Mancha;162;3797;1;2671;1126;15316;6974;21004;2,7;16,21;12,23;21,27;13266;25,1;28904
Cataluña;548;16128;27;13552;2576;61548;26939;31119;2;11,03;10,59;11,51;58699;12,6;37865
Comunitat Valenciana;463;10799;8;8749;2050;37324;17534;23206;2,7;14,11;11,80;16,86;40592;20,6;30683
Extremadura;99;1755;1;1336;419;7650;3346;19454;3,3;21,54;16,60;27,69;5563;30,4;25666
Galicia;159;4636;0;3534;1103;15718;9331;23873;3,2;11,76;10,75;12,84;11356;16,2;32208
Madrid, Comunidad de;497;12495;9;9810;2684;55741;24560;35913;2,3;10,62;9,81;11,48;70581;14,6;40953
Murcia, Región de;101;2699;1;2048;651;14264;5093;21642;2,6;14,68;11,88;18,22;8881;25,9;29039
Navarra, Comunidad Foral de;57;1131;0;847;284;5371;2110;32141;3,6;8,24;7,40;9,21;4508;7,8;39204
País Vasco;162;4148;3;3516;632;15449;7222;34142;3;9,15;8,89;9,43;18961;8;41986
Rioja, La;23;543;0;412;131;2408;1117;28200;2,6;9,96;10,13;9,76;2189;12,3;34545
Ceuta;7;141;0;90;52;841;507;20903;3,2;25,82;22,98;29,67;348;36,1;35713
Melilla;4;97;0;72;25;1236;311;19211;2,7;26,98;22,33;32,72;379;29,7;42197
TOTAL NACIONAL;3598;91646;72;72298;19348;358747;165177;26426;2,5;14,11;12,45;16,00;361291;18,6;33794
